Maze Runner: The Scorch Trials,771390260,4046784,2015-09-18,64,50,Rotten,PG-13,2015,129,Action & Adventure,,,
Phoenix,771387864,2764784,2015-07-24,81,99,Certified Fresh,PG-13,2015,98,Drama,,,
Veteran,771421442,,2015-09-17,86,80,Fresh,Unrated,2015,124,Drama,,,
Vacation,771312080,1524930,2015-07-29,54,26,Rotten,R,2015,99,Action & Adventure,Comedy,,
The Visit,771403194,3567288,2015-09-11,59,62,Fresh,PG-13,2015,94,Mystery & Suspense,Horror,,
Ant-Man,770680853,0478970,2015-07-17,89,80,Certified Fresh,PG-13,2015,115,Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy,Comedy
99 Homes,771387514,,2015-09-25,82,90,Certified Fresh,R,2015,112,Mystery & Suspense,Drama,,
Captive,771366073,,,40,-1,,Unrated,2015,120,Drama,Action & Adventure,Mystery & Suspense,Comedy
Learning To Drive,771387834,3062976,2015-08-21,67,67,Fresh,R,2015,105,Drama,Romance,,
The Transporter Refueled,771415619,2938956,2015-09-04,35,17,Rotten,PG-13,2015,95,Action & Adventure,,,
The Walk,771375737,3488710,2015-10-09,85,86,Certified Fresh,PG,2015,123,Drama,,,
The Intern,771370466,2361509,2015-09-25,79,60,Fresh,PG-13,2015,121,Comedy,,,
The Perfect Guy,771401412,3862750,2015-09-11,57,19,Rotten,PG-13,2015,100,Mystery & Suspense,,,
Hotel Transylvania 2,771321495,2510894,2015-09-25,74,48,Rotten,PG,2015,89,Animation,,,
Pawn Sacrifice,771314085,1596345,2015-09-25,73,72,Fresh,PG-13,2015,114,Drama,,,
Southpaw,771258788,1937444,2015-07-24,80,59,Rotten,R,2015,123,Drama,,,
The Green Inferno,771350024,2403021,2015-09-25,41,38,Rotten,R,2015,103,Mystery & Suspense,Horror,,
Pixels,771263974,2120120,2015-07-24,52,17,Rotten,PG-13,2015,106,Drama,Animation,Comedy,
Minions,771314279,2293640,2015-07-10,52,54,Rotten,PG,2015,91,Animation,Kids & Family,Comedy,
No Escape,771382361,1781922,2015-08-26,68,46,Rotten,R,2015,101,Mystery & Suspense,,,
Coming Home,771379420,3125472,2015-09-09,80,92,Certified Fresh,PG-13,2015,111,Drama,,,
The Man From U.N.C.L.E.,771258835,1638355,2015-08-14,80,67,Fresh,PG-13,2015,116,Action & Adventure,Mystery & Suspense,Comedy,
Inside Out,771306118,2096673,2015-06-19,90,98,Certified Fresh,PG,2015,94,Animation,Kids & Family,,
Grandma,771412187,4270516,2015-08-21,70,93,Certified Fresh,R,2015,82,Comedy,,,
A Walk In The Woods,771411962,1178665,2015-09-02,57,45,Rotten,R,2015,98,Drama,Action & Adventure,Comedy,
Trainwreck,771372670,3152624,2015-07-17,74,86,Certified Fresh,R,2015,122,Comedy,,,
Straight Outta Compton,771305050,1398426,2015-08-14,94,90,Certified Fresh,R,2015,147,Drama,,,
Un gallo con muchos huevos,771419973,,2015-09-04,84,69,Fresh,PG-13,2015,93,Animation,,,
Jurassic World,771324839,0369610,2015-06-12,80,71,Fresh,PG-13,2015,123,Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy,
Mississippi Grind,771411954,2349144,2015-09-25,61,88,Certified Fresh,R,2015,108,Drama,,,
War Room,771413235,4405668,2015-08-28,90,36,Rotten,PG,2015,120,Drama,,,
Fantastic Four,771323153,1502712,2015-08-07,20,9,Rotten,PG-13,2015,106,Action & Adventure,,,
The Martian,771380589,3659388,2015-10-02,94,93,Certified Fresh,PG-13,2015,134,Science Fiction & Fantasy,,,
Mission: Impossible Rogue Nation,771357161,2381249,2015-07-31,90,93,Certified Fresh,PG-13,2015,132,Action & Adventure,,,
Goodnight Mommy,771387814,3086442,2015-09-11,70,80,Certified Fresh,R,2015,99,Drama,Horror,,
He Named Me Malala,771416517,3065132,2015-10-02,69,68,Fresh,PG-13,2015,120,Documentary,,,
90 Minutes In Heaven,771421530,,2015-09-11,57,25,Rotten,PG-13,2015,121,Drama,,,
Everest,771373971,,2015-09-18,75,72,Fresh,PG-13,2015,121,Drama,Action & Adventure,Mystery & Suspense,
Avengers: Age of Ultron,771313962,2395427,2015-05-01,86,74,Certified Fresh,PG-13,2015,141,Action & Adventure,Science Fiction & Fantasy,,
Meet The Patels,771399886,2378401,2015-09-11,87,84,Fresh,PG,2015,88,Documentary,,,
Black Mass,771383582,1355683,2015-09-18,75,75,Certified Fresh,R,2015,122,Drama,,,
Sleeping with Other People,771364241,3165612,2015-09-11,65,59,Rotten,R,2015,95,Comedy,,,
Shaun the Sheep,771357360,2872750,2015-08-05,82,99,Certified Fresh,PG,2015,85,Comedy,Animation,,
The Gift,771415974,4178092,2015-08-07,79,93,Certified Fresh,R,2015,108,Mystery & Suspense,,,
Sicario,771414183,3397884,2015-10-02,91,93,Certified Fresh,R,2015,120,Drama,Action & Adventure,,
